Folder-Label,Job-Vacancy,Keywords
Hardware-Networks-Systems,[1],"[""'emageia"", 'australian', 'tech', 'company', 'back', 'office', 'based', 'sri', 'lanka', 'we', 'managed', 'it', 'services', 'provider', 'msp', 'strong', 'background', 'microsoft', 'enterprise', 'solutions', 'smb’s', 'currently', 'looking', 'expand', 'fast-growing', 'technical', 'support', 'team', 'as', 'engineer', 'work', 'service', 'environment', 'supporting', 'client', 'related', 'requests', 'including', 'installing', 'configuring', 'troubleshooting', 'hardware', 'software', 'application', 'issues', 'either', 'remotely', 'person', 'job', 'vacancy', 'week', 'monday', 'friday', 'shift', 'roaster', 'workshift', 'due', 'pandemic', 'situation', 'best', 'interest', 'health', 'safty', 'loved', 'one’s', 'operates', 'work-from-home', 'policy', 'unless', 'informed', 'required', 'home', 'notice', 'responsibilities', 'engage', 'clients', 'friendly', 'quick', 'helpful', 'manner', 'respond', 'assist', 'end', 'directly', 'level', 'ensure', 'tickets', 'resolved', 'withing', 'sla’s', 'escalations', 'attended', 'time', 'follow', 'itil', 'standards', 'properly', 'logged', 'documented', 'system', 'investigate', 'troubleshoot', 'resolve', 'infrastructure', 'applications', 'customers', 'provide', 'feedback', 'see', 'problem', 'resolution', 'documentations', 'well', 'maintained', 'create', 'maintain', 'documentation', 'on-site', 'processes', 'always', 'standard', 'operational', 'procedures', 'sop’s', 'you', 'ability', 'solve', 'problems', 'challenges', 'great', 'communications', 'skills', 'native-fluent', 'english', 'advanced', 'understanding', 'tools', 'techniques', 'used', 'operating', 'systems', 'business', 'printing', 'network', 'diagnosis', 'end-user', 'devices', 'experience', 'structured', 'cabling', 'maintaining', 'networking', 'voip', 'equipment', 'knowledge', 'working', 'azure', 'cloud', 'platform', 'vendors', 'expedited', 'must', 'able', 'type', 'quickly', 'accurately', 'talking', 'phone', 'deep', 'desire', 'deliver', 'amazing', 'qualifications', 'should', 'possess', 'bsc', 'information', 'technology', 'computer', 'science', 'equivalent', 'using', 'ticketing', 'rmm', 'tool', 'psa', 'providing', 'via', 'remote', 'handling', 'professional', 'certifications', 'mcp', 'mcsa', 'mcse', 'itsm', 'etc', 'large', 'volume', 'receive', 'reviewed', 'order', 'received', 'candidates', ""short-listed'""]"
IT-Software-DB-QA-Web-Graphics-GIS,[1],"[""'emageia"", 'australian', 'tech', 'company', 'back', 'office', 'based', 'sri', 'lanka', 'we', 'managed', 'it', 'services', 'provider', 'msp', 'strong', 'background', 'microsoft', 'enterprise', 'solutions', 'smb’s', 'currently', 'looking', 'expand', 'fast-growing', 'technical', 'support', 'team', 'as', 'engineer', 'work', 'service', 'environment', 'supporting', 'client', 'related', 'requests', 'including', 'installing', 'configuring', 'troubleshooting', 'hardware', 'software', 'application', 'issues', 'either', 'remotely', 'person', 'job', 'vacancy', 'week', 'monday', 'friday', 'shift', 'roaster', 'workshift', 'due', 'pandemic', 'situation', 'best', 'interest', 'health', 'safty', 'loved', 'one’s', 'operates', 'work-from-home', 'policy', 'unless', 'informed', 'required', 'home', 'notice', 'responsibilities', 'engage', 'clients', 'friendly', 'quick', 'helpful', 'manner', 'respond', 'assist', 'end', 'directly', 'level', 'ensure', 'tickets', 'resolved', 'withing', 'sla’s', 'escalations', 'attended', 'time', 'follow', 'itil', 'standards', 'properly', 'logged', 'documented', 'system', 'investigate', 'troubleshoot', 'resolve', 'infrastructure', 'applications', 'customers', 'provide', 'feedback', 'see', 'problem', 'resolution', 'documentations', 'well', 'maintained', 'create', 'maintain', 'documentation', 'on-site', 'processes', 'always', 'standard', 'operational', 'procedures', 'sop’s', 'you', 'ability', 'solve', 'problems', 'challenges', 'great', 'communications', 'skills', 'native-fluent', 'english', 'advanced', 'understanding', 'tools', 'techniques', 'used', 'operating', 'systems', 'business', 'printing', 'network', 'diagnosis', 'end-user', 'devices', 'experience', 'structured', 'cabling', 'maintaining', 'networking', 'voip', 'equipment', 'knowledge', 'working', 'azure', 'cloud', 'platform', 'vendors', 'expedited', 'must', 'able', 'type', 'quickly', 'accurately', 'talking', 'phone', 'deep', 'desire', 'deliver', 'amazing', 'qualifications', 'should', 'possess', 'bsc', 'information', 'technology', 'computer', 'science', 'equivalent', 'using', 'ticketing', 'rmm', 'tool', 'psa', 'providing', 'via', 'remote', 'handling', 'professional', 'certifications', 'mcp', 'mcsa', 'mcse', 'itsm', 'etc', 'large', 'volume', 'receive', 'reviewed', 'order', 'received', 'candidates', ""short-listed'""]"
IT-Software-DB-QA-Web-Graphics-GIS,[3],"[""'senior"", 'php', 'developer', 'laravel', 'founded', 'sri', 'lankan', 'american', 'entrepreneur', 'us', 'silicon', 'valley', 'ilabs', 'currently', 'several', 'major', 'partnerships', 'global', 'tech', 'companies', 'also', 'high', 'growth', 'ecommerce', 'startup', 'cloudofgoodscom', 'today', 'specializes', 'web', 'mobile', 'ai', 'technologies', 'technology', 'outsourcing', 'services', 'we', 'provide', 'it', 'strategy', 'consulting', 'operations', 'devops', 'seo', 'digital', 'marketingsocial', 'media', 'solutions', 'clients', 'over', 'past', 'decade', 'grown', 'one', 'top', 'lanka', 'experiencing', 'rapid', 'hundreds', 'of', 'urgent', 'job', 'openings', 'hire', 'talent', 'above-market', 'remuneration', 'come', 'work', 'looking', 'join', 'engineering', 'team', 'in', 'role', 'responsible', 'writing', 'complex', 'code', 'debugging', 'programs', 'integrating', 'third-party', 'apis', 'you', 'get', 'opportunity', 'participate', 'variety', 'software', 'development', 'projects', 'including', 'big', 'data', 'using', 'latest', 'greatest', 'open-source', 'products', 'you’ll', 'build', 'cutting-edge', 'applications', 'align', 'business', 'needs', 'responsibilities', 'clean', 'reusable', 'efficient', 'integration', 'user-facing', 'elements', 'developed', 'front-end', 'developers', 'backend', '3rd', 'party', 'internal', 'developing', 'documenting', 'attending', 'design', 'review', 'meetingsrequirements', 'years', 'hands-on', 'experience', 'framework', 'good', 'understanding', 'frontend', 'html5', 'css', 'javascript', 'frameworks', 'reactjs', 'angularjs', 'plus', 'knowledge', 'cloud', 'computing', 'aws', 'gcloud', 'required', 'test-driven', 'linux', 'bsms', 'computer', 'science', ""information'""]"
Sales-Marketing-Merchandising,[6],"[""'junior"", 'buyer', 'job', 'categories', 'sales', 'marketing', 'new', 'business', 'developmentapparelretail', 'fashion', 'profile', 'assisting', 'buying', 'activities', 'weekly', 'stock', 'replenishment', 'stores', 'recording', 'visiting', 'shopsstores', 'liaising', 'shop', 'personal', 'ensure', 'supply', 'meet', 'demand', 'working', 'merchandising', 'manager', 'developing', 'product', 'lines', 'improving', 'existing', 'candidate', 'criteria', 'advance', 'knowledge', 'ms', 'office', 'graduate', 'reputed', 'university', 'should', 'highly', 'numerical', 'excellent', 'ability', 'analyze', 'data', 'attention', 'detail', 'paramount', 'enquiring', 'mind', 'communication', 'interpersonal', 'skills', 'the', 'ideal', 'someone', 'able', 'demonstrate', 'work', 'also', 'part', 'team', 'if', 'you', 'fit', 'above', 'and', 'wish', 'to', ""join'""]"
Banking-Insurance,[7],"[""'business"", 'development', 'associates', 'credit', 'card', 'personal', 'loan', 'if', 'looking', 'career', 'give', 'plenty', 'opportunities', 'develop', 'join', 'hsbc', 'future', 'rich', 'potential', 'sales', 'distribution', 'plays', 'pivotal', 'role', 'understanding', 'meeting', 'customer', 'needs', 'offering', 'night', 'solutions', 'right', 'channels', 'segments', 'the', 'team', 'responsible', 'implementing', 'strategy', 'driving', 'delivery', 'market', 'leading', 'retail', 'experiences', 'thereby', 'maximising', 'satisfaction', 'we', 'currently', 'seeking', 'ambitious', 'individuals', 'colombo', 'associate', 'senice', 'when', 'enjoy', 'supportive', 'culture', 'access', 'employee', 'benefits', 'as', 'learning', 'support', 'acquiring', 'skills', 'related', 'job', 'progressive', 'advancement', 'opportunity', 'work', 'diversified', 'flexible', 'an', 'attractive', 'basic', 'salary', 'quarterly', 'incentive', 'scheme', 'medical', 'insurance', 'coverage', 'life', 'coaching', 'immediate', 'family', 'what', 'contributing', 'banking', 'wealth', 'managomont', 'business', 'by', 'working', 'managers', 'plan', 'dailyweeklymonthly', 'activities', 'line', 'agreed', 'overall', 'consistently', 'achieving', 'individual', 'updating', 'maintaining', 'accurate', 'record', 'timely', 'manner', 'building', 'relationship', 'key', 'top', 'corporates', 'explore', 'cater', 'adopting', 'needs-based', 'selling', 'approach', 'rapport', 'establishing', 'identifying', 'matching', 'customers', 'financial', 'solution', 'following-up', 'following-through', 'application', 'within', 'stipulated', 'timelines', 'complying', 'code', 'othics', 'professional', 'conduct', 'fair', 'dealings', 'stakeholders', 'times', 'upholding', 'requirements', 'quality', 'standards', 'absolute', 'confidentiality', 'regard', 'information', 'to', 'successful', 'need', 'following', 'one', 'year', 'experience', 'rolated', 'industry', 'preferred', 'completion', 'gce', 'ol', 'andor', 'al', 'examinations', 'strong', 'communication', 'interpersonal', 'passion', 'delivering', 'superior', 'service', 'goal-oriented', 'innovative', 'organizational', 'apply', 'please', 'send', 'full', 'cv', 'careerhsbccomlk', 'subject', 'shortlisted', 'applicants', 'invited', 'interview', 'two', 'weeks', 'closing', 'date', 'advert', 'interviews', ""conducted'""]"
Media-Advert-Communication,[7],"[""'business"", 'development', 'associates', 'credit', 'card', 'personal', 'loan', 'if', 'looking', 'career', 'give', 'plenty', 'opportunities', 'develop', 'join', 'hsbc', 'future', 'rich', 'potential', 'sales', 'distribution', 'plays', 'pivotal', 'role', 'understanding', 'meeting', 'customer', 'needs', 'offering', 'night', 'solutions', 'right', 'channels', 'segments', 'the', 'team', 'responsible', 'implementing', 'strategy', 'driving', 'delivery', 'market', 'leading', 'retail', 'experiences', 'thereby', 'maximising', 'satisfaction', 'we', 'currently', 'seeking', 'ambitious', 'individuals', 'colombo', 'associate', 'senice', 'when', 'enjoy', 'supportive', 'culture', 'access', 'employee', 'benefits', 'as', 'learning', 'support', 'acquiring', 'skills', 'related', 'job', 'progressive', 'advancement', 'opportunity', 'work', 'diversified', 'flexible', 'an', 'attractive', 'basic', 'salary', 'quarterly', 'incentive', 'scheme', 'medical', 'insurance', 'coverage', 'life', 'coaching', 'immediate', 'family', 'what', 'contributing', 'banking', 'wealth', 'managomont', 'business', 'by', 'working', 'managers', 'plan', 'dailyweeklymonthly', 'activities', 'line', 'agreed', 'overall', 'consistently', 'achieving', 'individual', 'updating', 'maintaining', 'accurate', 'record', 'timely', 'manner', 'building', 'relationship', 'key', 'top', 'corporates', 'explore', 'cater', 'adopting', 'needs-based', 'selling', 'approach', 'rapport', 'establishing', 'identifying', 'matching', 'customers', 'financial', 'solution', 'following-up', 'following-through', 'application', 'within', 'stipulated', 'timelines', 'complying', 'code', 'othics', 'professional', 'conduct', 'fair', 'dealings', 'stakeholders', 'times', 'upholding', 'requirements', 'quality', 'standards', 'absolute', 'confidentiality', 'regard', 'information', 'to', 'successful', 'need', 'following', 'one', 'year', 'experience', 'rolated', 'industry', 'preferred', 'completion', 'gce', 'ol', 'andor', 'al', 'examinations', 'strong', 'communication', 'interpersonal', 'passion', 'delivering', 'superior', 'service', 'goal-oriented', 'innovative', 'organizational', 'apply', 'please', 'send', 'full', 'cv', 'careerhsbccomlk', 'subject', 'shortlisted', 'applicants', 'invited', 'interview', 'two', 'weeks', 'closing', 'date', 'advert', 'interviews', ""conducted'""]"
Imports-Exports,[14],"[""'intern"", 'commercial', 'company', 'imiddle', 'east', 'jobs', 'sri', 'lanka', 'job', 'category', 'supply', 'chain', 'logistics', 'procurement', 'description', 'key', 'duties', 'responsibilities', 'handling', 'imports', 'activities', 'pro', 'forma', 'invoice', 'grn', 'coordinating', 'relevant', 'internal', 'departments', 'assuring', 'timely', 'deliveries', 'per', 'expected', 'quality', 'norms', 'efficient', 'import', 'facilitation', 'arrangement', 'lc', 'tt', 'document', 'collections', 'shipping', 'guarantee', 'export', 'facilitations', 'bank', 'maintain', 'close', 'relationships', 'banks', 'follow', 'monitor', 'principals', 'vendors', 'lines', 'freight', 'forwarders', 'expedite', 'shipmentsdeliveries', 'co', 'ordinating', 'clearing', 'agents', 'customs', 'clearance', 'arranging', 'duty', 'payments', 'do', 'related', 'order', 'facilitate', 'demurrage', 'free', 'keeping', 'soft', 'hard', 'copies', 'important', 'documentation', 'ensure', 'records', 'maintained', 'systematically', 'meet', 'future', 'audit', 'trial', 'management', 'requirement', 'introduce', 'new', 'competitive', 'vendor', 'base', 'achieve', 'objectives', 'cost', 'compliance', 'country', 'regulations', 'attend', 'licenses', 'coo', 'gsp', 'certificates', 'etc…in', 'manner', 'relationship', 'external', 'parties', 'custom', 'portsairports', 'trade', 'chambers', 'smooth', 'functioning', 'department', 'importexport', 'processes', 'exports', 'achieving', 'delivery', 'deadlines', 'tiep', 'cancellations', 'po', 'costing', 'sap', 'skills', 'requirments', 'successfully', 'completed', 'gce', 'al', 'undergraduate', 'computer', 'literacy', 'ms', 'office', 'package', 'good', 'interpersonal', 'communication', 'available', ""join'""]"
Hospital-Nursing-Healthcare,[15],"[""'bpo"", 'executivebpo', 'analyst', 'company', 'hcl', 'technologies', 'lanka', 'private', 'limited', 'colombo', 'job', 'categories', 'hospital', 'nursing', 'healthcarescience', 'researchbusiness', 'managementretail', 'fashionbpo', 'kpo', 'profile', 'to', 'help', 'development', 'excellent', 'working', 'climate', 'within', 'function', 'individual', 'contributor', 'team-player', 'achieving', 'business', 'goals', 'actively', 'executive', 'voice', 'calling', 'back', 'office', 'documentation', 'process', 'display', 'high', 'level', 'integrity', 'dealings', 'internalexternal', 'customers', 'exposure', 'ms', 'requirements', 'any', 'graduate', 'gce', 'passed', 'artssciencecommercebusiness', 'experience', 'one', 'domain', 'ie', 'retail', 'healthcare', 'fa', 'supply', 'useurope', 'typing', 'speed', 'wordsminute', 'accuracy', 'decent', 'communication', 'skillswritten', 'verbal', 'flexible', 'work', 'night', 'shifts', 'aptitude', 'test', 'scoring', 'please', 'click', 'apply', 'button', 'upload', 'cv', ""via'""]"
KPO-BPO,[16],"[""'call"", 'centre', 'executives', 'job', 'core', 'cube', 'pvt', 'ltd', 'colombo', 'sri', 'lanka', 'company', 'categories', 'bpo', 'kpo', 'customer', 'service', 'center', 'school', 'leavers', 'we', 'offshore', 'business', 'process', 'outsourcing', 'based', 'looking', 'young', 'energetic', 'candidate', 'attitude', 'learn', 'fast', 'maintain', 'high', 'standard', 'professionalism', 'duties', 'join', 'team', 'please', 'refer', 'advert', 'information', 'attractive', 'salary', 'plus', 'comprehensive', 'benefitswe', 'skills', 'competencies', 'minimum', 'months', '1-year', 'experience', 'handling', 'outbound', 'calls', 'prior', 'web-based', 'fluency', 'english', 'tamil', 'hindi', 'excellent', 'communication', 'age', 'interested', 'career', 'bpokpo', 'industry', 'ability', 'work', 'pm', 'player', 'independently', 'multicultural', 'fast-paced', 'environment', 'manage', 'document', 'issues', 'resolutions', 'client', 'records', 'updating', 'account', 'meeting', 'daily', 'weekly', 'monthly', 'goals', 'regarding', 'quantitative', 'qualitative', 'targets', 'selected', 'candidates', 'can', 'look', 'forward', 'for', 'competitive', 'package', 'top', 'performance-based', 'incentives', 'attendance', 'bonus', 'transport', 'training', 'provided', 'an', 'working', 'development', 'opportunities', 'remember', 'to', 'bring', ""your'""]"
Media-Advert-Communication,[16],"[""'call"", 'centre', 'executives', 'job', 'core', 'cube', 'pvt', 'ltd', 'colombo', 'sri', 'lanka', 'company', 'categories', 'bpo', 'kpo', 'customer', 'service', 'center', 'school', 'leavers', 'we', 'offshore', 'business', 'process', 'outsourcing', 'based', 'looking', 'young', 'energetic', 'candidate', 'attitude', 'learn', 'fast', 'maintain', 'high', 'standard', 'professionalism', 'duties', 'join', 'team', 'please', 'refer', 'advert', 'information', 'attractive', 'salary', 'plus', 'comprehensive', 'benefitswe', 'skills', 'competencies', 'minimum', 'months', '1-year', 'experience', 'handling', 'outbound', 'calls', 'prior', 'web-based', 'fluency', 'english', 'tamil', 'hindi', 'excellent', 'communication', 'age', 'interested', 'career', 'bpokpo', 'industry', 'ability', 'work', 'pm', 'player', 'independently', 'multicultural', 'fast-paced', 'environment', 'manage', 'document', 'issues', 'resolutions', 'client', 'records', 'updating', 'account', 'meeting', 'daily', 'weekly', 'monthly', 'goals', 'regarding', 'quantitative', 'qualitative', 'targets', 'selected', 'candidates', 'can', 'look', 'forward', 'for', 'competitive', 'package', 'top', 'performance-based', 'incentives', 'attendance', 'bonus', 'transport', 'training', 'provided', 'an', 'working', 'development', 'opportunities', 'remember', 'to', 'bring', ""your'""]"
